SKU|Make|Model|Year|Submodel|ourBodyTypeName|_BodyNumDoors_|Universal SKU|SKU_Naumkin|Required SKU|Optional SKU|Available|Available1|ourMake|Fitment_note|ourRealModel|_MfrBodyCodeName_|ourModel|Available2|Processing|Brand|_BodyTypeName_|Part#1|NumDoor|Length_b|MMY
F09100QC-6-TXR|Ford|F-150|2014|||||F09100QC-6-TXR|||||Ford||||||True|RBP®|Extended Cab Pickup|F09100QC-6-TXR||6'6" Bed|
F09100QC-6-TXR|Ford|Lobo|2009|||||F09100QC-6-TXR|||||Ford||||||True|RBP®|Extended Cab Pickup|F09100QC-6-TXR||6'6" Bed|
F09100QC-6-TXR|Ford|Lobo|2010|||||F09100QC-6-TXR|||||Ford||||||True|RBP®|Extended Cab Pickup|F09100QC-6-TXR||6'6" Bed|
F09100QC-6-TXR|Ford|Lobo|2011|||||F09100QC-6-TXR|||||Ford||||||True|RBP®|Extended Cab Pickup|F09100QC-6-TXR||6'6" Bed|
F09100QC-6-TXR|Ford|Lobo|2012|||||F09100QC-6-TXR|||||Ford||||||True|RBP®|Extended Cab Pickup|F09100QC-6-TXR||6'6" Bed|
F09100QC-6-TXR|Ford|Lobo|2013|||||F09100QC-6-TXR|||||Ford||||||True|RBP®|Extended Cab Pickup|F09100QC-6-TXR||6'6" Bed|
F09100QC-6-TXR|Ford|Lobo|2014|||||F09100QC-6-TXR|||||Ford||||||True|RBP®|Extended Cab Pickup|F09100QC-6-TXR||6'6" Bed|
F09107CC-6-TXR|Ford|F-150|2009|||4||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR||6'6" Bed|
F09107CC-6-TXR|Ford|F-150|2010|||||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR|4 Door|6'6" Bed|
F09107CC-6-TXR|Ford|F-150|2011|||||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR|4 Door|6'6" Bed|
F09107CC-6-TXR|Ford|F-150|2012|||||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR|4 Door|6'6" Bed|
F09107CC-6-TXR|Ford|F-150|2013|||||F09107CC-6-TXR|||||Ford||||||True|RBP®|Crew Cab Pickup|F09107CC-6-TXR|4 Door|6'6" Bed|
