SKU|CORE DEPOSIT|CF SHIPPING|SBOX|Available|BRANDNAME|PACKAGE|SHIPPINGTYPE|Templates|forname1|forname2|Core|Valid|Price|Height|Length|Width|Weight|UPC|DATA SOURCE|IN STOCK|MainProduct|VENDORID
142.39049|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|40|True|63.92|5.38|9.38|7.25|12.00|805890520818|||M|
142.39050|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|40|False|63.92|5.38|9.38|7.25|12.00|805890521228|||M|
142.39051|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|80|True|77.05|5.38|9.38|7.25|0.20|805890521518|||M|
142.39055|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|80|True|77.05|5.38|9.38|7.25|21.98|805890523208|||M|
142.39056|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|80|True|77.05|5.38|9.38|7.25|21.98|805890530138|||M|
142.39511|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|25|True|72.04|5.38|9.38|7.25|7.00|805890540618|||M|
142.39052|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|80|True|77.05|5.38|9.38|7.25|20.20|805890521808|||M|
142.39512|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|25|True|72.04|5.38|9.38|7.25|7.00|805890540908|||M|
142.39517|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|15|True|58.53|5.38|9.38|7.25|6.00|805890542308|||M|
142.39519|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|20|True|58.53|5.38|9.38|7.25|6.00|805890543008|||M|
142.39523|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|40|True|72.04|5.38|9.38|7.25|8.00|805890550808|||M|
142.39524|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|40|True|72.04|5.38|9.38|7.25|8.00|805890551218|||M|
143.39003|||||Centric®|||Centric Caliper Friction Repair Kit||Caliper Friction Repair Kit|||9.40|2.00|4.00|9.00|0.10|805890070634|||M|
150.39005|||||Centric®|||Centric Brake Hose||Brake Hose||True|10.58|1.50|7.00|6.00|0.30|805890077855|||M|
150.39006|||||Centric®|||Centric Brake Hose||Brake Hose||True|13.77|1.50|7.00|6.00|0.70|805890077862|||M|
150.39007|||||Centric®|||Centric Brake Hose||Brake Hose||True|12.64|1.50|7.00|6.00|0.30|805890155867|||M|
150.39009|||||Centric®|||Centric Brake Hose||Brake Hose||True|13.70|1.50|7.00|6.00|1.50|805890170013|||M|
150.39008|||||Centric®|||Centric Brake Hose||Brake Hose||True|15.41|1.50|7.00|6.00|0.50|805890170006|||M|
150.39010|||||Centric®|||Centric Brake Hose||Brake Hose||False|16.96|1.50|7.00|6.00|0.85|805890170020|||M|
150.39015|||||Centric®|||Centric Brake Hose||Brake Hose||True|17.70|1.50|7.00|6.00|0.30|805890131052|||M|
150.39016|||||Centric®|||Centric Brake Hose||Brake Hose||False|15.41|1.50|7.00|6.00|0.25|805890394020|||M|
150.39017|||||Centric®|||Centric Brake Hose||Brake Hose||False|14.83|1.50|7.00|6.00|0.85|805890394037|||M|
150.39018|||||Centric®|||Centric Brake Hose||Brake Hose||False|16.96|1.50|7.00|6.00|0.25|805890613428|||M|
150.39019|||||Centric®|||Centric Brake Hose||Brake Hose||False|16.96|1.50|7.00|6.00|0.25|805890661412|||M|
150.39317|||||Centric®|||Centric Brake Hose||Brake Hose||True|15.41|1.50|7.00|6.00|0.30|805890170068|||M|
150.39314|||||Centric®|||Centric Brake Hose||Brake Hose||False|14.35|1.50|7.00|6.00|0.85|805890170037|||M|
150.39315|||||Centric®|||Centric Brake Hose||Brake Hose||True|12.64|1.50|7.00|6.00|0.30|805890170044|||M|
150.39316|||||Centric®|||Centric Brake Hose||Brake Hose||True|14.35|1.50|7.00|6.00|0.50|805890170051|||M|
150.39011|||||Centric®|||Centric Brake Hose||Brake Hose||True|16.47|1.50|7.00|6.00|0.30|805890196532|||M|
150.39012|||||Centric®|||Centric Brake Hose||Brake Hose||False|16.47|1.50|7.00|6.00|0.50|805890430216|||M|
150.39013|||||Centric®|||Centric Brake Hose||Brake Hose||True|18.24|1.50|7.00|6.00|0.30|805890561101|||M|
150.39014|||||Centric®|||Centric Brake Hose||Brake Hose||False|13.77|1.50|7.00|6.00|0.85|805890131045|||M|
150.39312|||||Centric®|||Centric Brake Hose||Brake Hose||True|14.76|1.50|7.00|6.00|0.30|805890077930|||M|
